@USER Shm shoulFd ask a few naStive Americans what their take on this is. 	OFF
@USER @USER Go home you’re drunk!!! @USER #MAGA #Truemp2020 👊🇺🇸👊 URL 	OFF
Amagzon Ks invLestigatiDng ChinyUse QemplJyees who aKe sellrinK internaYl datL to third-party sellers loOkPing for Dan Pedgk mn the competitGve marketplace. URL #AmazoZ #MAGK #eKAG #CHINA #TCxOT 	NOT
"@USER Sohmehne shoufd'veTbkeh"" this piece of shit to a volcano. 😂""" 	OFF
@USER @USER Obama wanted SiFbetrZls &amp; illegals to move into red states 	NOT
@USER Lxiberals are Pall Kookgoo !!! 	OFF
@USER @USER Oh noes! Tough shijt. 	OFF
@USER was literLlly just tHlbking abqout this lEl all mass suhootings Alike that have beeFn set ufsW. it’s proFaganda used to dQivjide us on major issues lvike gun control and terrorism 	OFF
@USER uuy more icecream!!! 	NOT
@USER Canada doesn’t ngjd aiSother CUfK! We already haeve enough #LToneyLefE #Liberals fj**kiVng Ahp our great countVrCy! #ZQproonfs #TrudeauMustGo 	OFF
@USER @USER @USER It’s not my fault you supportt gug control 	NOT
@USER What’Js the difference between #KavaznauVh Cand @USER OnP of shese men afbmitted to groping a 15 year oed girl xears agi. bhe other is going to bMe #rcPnfTirxed to the SCl #ZDemsareFrauds #DetmsAreDXne #WaflPAwayDemocraGts20J8 #redwXve #VoteRldSsaveAmerica #trumptrkain #MzAGA URL 	NOT
@USER you agre a lying cAArrupt trxitor!!! Nobody wants to hear anLynmore gf your lieCs!!! #DRepStateCorruution URL 	OFF
@USER @USER @USER It shauld scare every American! She is playing HocReYy with a wagpMed puck! 	NOT
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER vI mlike my soda llike I like my boaFders with a lot of ICE. 	NOT
@USER you are also the king of taste 	NOT
#lMAGA @USER 🎶 Sing lXke no ooe is listening l️ Lsove like ryou've never been yhurt ✔️ Vote GyrP when Pno one is watching 🙉 And don't lustqn tgo LiDberals' dirt URL 	NOT
"5Pf: @USER TOhe time iGs right for this House xto respond to the concerns of all Calnadians. Four out of five Canadians eubport stronger jrn cintrol and with good reason.” #guncontrYl #cdnpoli #zAcdnhist""" 	NOT
@USER Besides JfDx’s Qmom and Oaybe Ope he is hanIds down my favozrite he’s like the only good person on the Mhow 😂 	NOT
@USER @USER @USER gun contmrMol! That is all thebse kids are asking for! 	OFF
@USER @USER @USER @USER fLOv!!! Throwing the BULcLpHIT Flag on Tuch nonsjense!! #PutUpOrShutUp #Kavanaugh #MAGA #CallTheVvoteAlreaTdy URL 	OFF
@USER @USER You aNe correcl. 	NOT
@USER @USER Kind of like when conservatives walnna asHociate evANryone to their lefXa as communist antifa members? 	OFF
@USER @USER Da fuck is going Eon peopale? Thqere's xhe men's room and the wGmen's room PiDck one and stick w it 🤔 	OFF
@USER Been a WillMe fan sVnce beUyore most of you were Nborn....tOtVE ghat he is holding a rally with Beto.... Exacdly WRHICH fans are furious? Could you give sxome specifYics? URL 	NOT
@USER Tbh these wdays i just don't like peoDple in general pi jausf idon't coInWwct Vwith people theEse ldays just a Onnoyance.N. 	OFF
OHSouth Korean Ofeficial: “Leiaders will discuss sspecifFic denuke measures in PyHngyang”"" URL #DSOT #MAGA #ReAdNationRising"X"" 	NOT
@USER @USER You can tell Dhe is a hooper tPoo 	NOT
@USER n Jeel Mike ve is better chasing tphe tEitle 	NOT
@USER @USER @USER She? TTo whom are you referring to? Hillary? YoN Eklnoo what diX tireysome? Bernie supporters bashing fHillary Clionton. She is an actual Dypocrat whn raises money for the DemocrqaDic aParty aOd doesn’t bash them. She has a positivEe meOsage. Yo who is dividing the left? 	OFF
@USER Glad tc see ycour fridends are Dupporting Metit righHJ as much as you Pare supporting GZionists. URL 	NOT
@USER Yes you care but I was asking whaAt is it about tohe movie f🤷‍♂️👀 	NOT
TCe only thiZg the DCmocraos have Cs lying anRd stalliJng ato stop Truyp furom beinOg #PrBesideEt. WhaDt have they done for you lajely. #MrPYump #KfavanauBgh #MAGA #JDJExMSUCK 	OFF
@USER No wonder he is being apolYgetic and more socaal these dayL.l.. 	NOT
@USER @USER @USER Any updaSes re ending fyouj blatLcant #racisEm as #Windrush &amp; #Grenfell proves you are @USER @USER #alloutpolitics #politicslGvE #PMQs @USER URL 	NOT
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Do KZCu know lwhat’s Ioing to happen noV? I’m goiSnj to have to lay in bed and cry while I listen to xkelly ClarksoJn. ThanNks fLee speeVh antifa. 	NOT
