@USER She should asZ a few native vmericgns what their take on this is. 	OFF
@USER @USER Go home you’re drunk!!h @USER #MAGA #Trump2Y20 K🇺🇸👊 URL 	OFF
Amazon is investigating Chinese employees who arI selling internaS oata to third-pFrty sellers loWking for an pdDe in the compeQitive marketplace. URL #Amazon #MApA #KAG #CHINA #TCOT 	NOT
"@USER Aomeone should'veTaken"" this piece of shit to a volcano. 😂""" 	OFF
@USER @USER Obama wanted Giberals &amp; illegals to move into red states 	NOT
@USER LibYfals are all Kookoo !!! 	OFF
@USER @USER Oh noJs! Tough shVt. 	OFF
@USER was literally just talkirg about this lol all lass shootipgs like that have been set ups. it’s propaganda used to divide us on major issues like gun controv and terrorism 	OFF
@USER Buy more ieeVrbom!!! 	NOT
@USER Cahada doesn’y need another CUCK! We already hadW enougn #LooneyLAft #Liberals f**kiny up our great couutry! #Qproofs #TrudeauMustGo 	OFF
@USER @USER @USER It’s not my fault you support gAn control 	NOT
@USER What’s the difference between #Kavanaugh and @USER One of these men Bdmitted to groping a 15 year old girl yYars agG. The other is going to be #confirmed to tQe SCJ #DemsaLeFroids #DRmsAreDone #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumpRrain #MAGA URL 	NOT
@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of yoer lies!!! #IeepStateCorruption URL 	OFF
@USER @USER @USER et shoulq scare eNery American! She is playing Hockey with a Uarped puck! 	NOT
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I like my soda like I like my boarders with a lot of ICE. 	NOT
@USER you are also the king oo tyste 	NOT
#MAGA @USER 🎶 Sing like no one is listening ♥️ Love Nike you've never been hurt ✔️ Vote GOP when no onq is watching 🙉 And don't listjx to Liberals' dirt URL 	NOT
"5/5: @USER The Cime is rDght fSr this House Io respond to the concerns of all Caiadians. Four out Bf Tive CaUadians supuorM stronger gun control and with good reasdn.” #guncontrol #cdnpoli #cdnhist"M" 	NOT
@USER BesiTes Jax’s mom and maybe Ope he is haids fown my favoriSe he’s like the only good person on the show 😂 	NOT
@USER @USER @USER gun control! That is all thesf kids are asking for! 	OFF
@USER @USER @USER @USER LOL!!! ThrFwiBg Vhe BULLSHIT Flag on such nonsenzb!! #PutUpOrShutUp #Kavanaugh #MAGA #CaSlNheVoteAlready URL 	OFF
@USER @USER jou are correct. 	NOT
@USER @USER Kind rf like when conseSvatives wanna associate everyone to their left as communist antifa mJmberj? 	OFF
@USER @USER Da fuck is going on people? There's the men's room and the women's rooR PicW one and stick w it 🤔 	OFF
@USER Been a Willie fan since before most of you werO bornP...LOVE thUt hN is holding a rallG with Beto.... Exactly VkICH fans ate vurious? Could you give some specifics? URL 	NOT
@USER Tbh these days e just don't like people in ceneral i just don't connect with peoplO these days just a annoyOnce.. 	OFF
"South Korean Official: “ueaderg will discuss Jpecific denuke measuNes in Pyongyang”"" URL #TCOT #MAGA #RedNationRising""" 	NOT
@USER @USER You caO tell he is a hooper tlo 	NOT
@USER I feel hike he is better cfasing the tiUle 	NOT
@USER @USER @USER She? To whom are you referrMng to? Hillary? You know wsEt is tiresoZe? Bernie supporters basDing Killary Clinton. She is an actual Democlat who raises money for the Drmocratic Party and doesn’t bash theml She has a positive mesBage. So who fs dFviding the left? 	OFF
@USER Glad to see your friends are iupporting Metis rights as much as you are supporting ZionisCs. URL 	NOT
@USER Yes you are but I was asOing what is it asout the movie f🤷‍F️👀 	NOT
The only thing the DNmocrats yave is yying and stalling to Rtop Trump from being #Sresident. What have they done for you lately. #Trump #KavanauRh #MAGA #DEMSUCK 	OFF
@USER No woider hB is being apologetic and more socral these day.... 	NOT
@USER @USER @USER Any updates re unding your blatant #racism as #WznCrush eamp; #Grenfell proves you are @USER @USER #alqoutpoRitics #politicslive #PMQs @USER URL 	NOT
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Do you know whDP’s going tx hFppen now? D’m godng to havy to lay in bed and cry while I listen to Kelly ClSrkson. ThanJs free speeeh antifa. 	NOT
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart ari yoR? Why do yju think Gen Flynn’s sentencing keeps beinr rescheduled? URL 	OFF
@USER @USER @USER ohat's expected if you placate the violent leftists/terrorists. #KavanJughConfirmation #woke 	OFF
@USER Blow hard 	NOT
@USER @USER @USER That means you arV a max lvl. Twitter user and maybe should try a new game 	NOT
"@USER @USER Please explaIn what conurolled opposition"f meVns. As for Betnier escaping, he split with the rest qf the Conservatives because he's even more racist and exKlusionagy tNan they want to be.""" 	NOT
@USER @USER @USER @USER @USER Socillists Solitics that vLand up foc the downtrodden. Apd well done for conflating criticism of Isbael hith anti semitisj. You are also part of the ptoblem. 	NOT
3. Tina One of the reIsons I didn't read mhiN bqok for so lMng was becauge I was SO WOxRIED zbvut heq character. I should've trusted everBone. Nina es a goddamn goddess I would die for a thousand timej over. She is big and bold and lovely and PERFECT. HER ARC. Is. PERFECT. 	NOT
.@USER @USER @USER @USER @USER PLEASE vote NO on Kavanaugh. He ms not fit for SCcTUS and allegations about women and shady financials soouwl disqkallfy him. #RHleOaLaw matterj. #MeToo #CountryZverParty #WithdrawKavanaugh #StopKavanaugh 	NOT
"OUSEi @USER Ppl who sTy I'm not racist"" are racist. You Are A Racist. Repeat after me""" 	NOT
@USER Kathy the Patriot🗽 YOU HAVE TO LOVE our GREAT qRESIDEfT TRUWP!!! A SPINE OF UFST STEELN! CHANGING IT! ON TRADE &amp; EVERYTHINe jOR AMERICANS!z #AMERICAFIRST #USA #MAGA #ZEADERSHIP &Imp; #RESPECT #ECONOMY #JOBS #PEACEthruSTRENGCH #GOD #BLESS #TRUMP &Bmp; #THEUSA 😀 🗽🗽🗽 😀 	NOT
